subject,link,goal
tragedie,est,evenement
orphelinat,est,arc
grandeGuerre,est,event
ageDesMutants,est,event
attaqueDeLAmbassade,est,event
renversementDeLaMonarchie,est,event
explorationDuGetho,est,event
explorationDuGetho,precede,ageDesMutants
explorationDuGetho,avant,ageDesMutants
orphelinat,avant,ageDesMutants
ageDesMutants,apres,orphelinat
orphelinat,est,evenement
ageDesMutants,est,evenement
ageDesMutants,apres,explorationDuGetho
explorationDuGetho,est,evenement
ageDesMutants,precede,attaqueDeLAmbassade
ageDesMutants,avant,attaqueDeLAmbassade
explorationDuGetho,avant,attaqueDeLAmbassade
attaqueDeLAmbassade,precede,renversementDeLaMonarchie
attaqueDeLAmbassade,avant,renversementDeLaMonarchie
ageDesMutants,avant,renversementDeLaMonarchie
explorationDuGetho,avant,renversementDeLaMonarchie
nouvelleConquete,est,event
renversementDeLaMonarchie,precede,nouvelleConquete
renversementDeLaMonarchie,avant,nouvelleConquete
attaqueDeLAmbassade,avant,nouvelleConquete
ageDesMutants,avant,nouvelleConquete
explorationDuGetho,avant,nouvelleConquete
orphelinat,avant,attaqueDeLAmbassade
orphelinat,avant,renversementDeLaMonarchie
orphelinat,avant,nouvelleConquete
orphelinat,precede,explorationDuGetho
orphelinat,avant,explorationDuGetho
grandeGuerre,precede,orphelinat
grandeGuerre,avant,orphelinat
grandeGuerre,avant,ageDesMutants
grandeGuerre,avant,attaqueDeLAmbassade
grandeGuerre,avant,explorationDuGetho
grandeGuerre,avant,nouvelleConquete
grandeGuerre,avant,renversementDeLaMonarchie
explorationDuGetho,theme,feminicide
explorationDuGetho,theme,handicape
grandeGuerre,theme,enfantSoldat
explorationDuGetho,theme,ennuie
explorationDuGetho,theme,traffic
explorationDuGetho,theme,foi
explorationDuGetho,theme,desertMedical
rentree,est,event
rentree,precede,ageDesMutants
rentree,avant,attaqueDeLAmbassade
rentree,avant,nouvelleConquete
rentree,avant,renversementDeLaMonarchie
rentree,avant,ageDesMutants
orphelinat,precede,rentree
orphelinat,avant,rentree
grandeGuerre,avant,rentree
